Sentence,Aspect,Polarity
"Fethipaşa korusunun sunduğu eşsiz manzaralar göz önüne alındığında, oldukça uygun maliyetlerle keyifli bir atmosfer yaratıyor.",maliyetlerle,2
"Yaz akşamları bahçede çay içmek harika, özellikle de semaverde demlenmiş olanı tercih etmelisiniz.",semaver çayını,2
Yaz aylarında bahçesi İstanbul'un en güzel yerlerinden biri olarak öne çıkıyor.,bahçesi,2
"Yemekler gerçekten harika, fakat fiyatlar biraz yüksek.",Yemekler,1
"Yemekler mükemmel, servis oldukça hızlı ve garsonlar çok kibar.",servis,2
"Yemekler çok lezzetli, servis harika ve çalışanlar oldukça güler yüzlü.",çalışanlar,2
Ortamın düzenlemesi harika bir şekilde düşünülmüş.,ortamın düzenlemesi,2
Şarkılar gerçekten muhteşem bir deneyim sunuyor.,şarkılar,2
Ne yazık ki sadece pazar günleri öğle yemeği veren bir restoran.,öğle yemeği,0
"Kahvaltı menüsü gerçekten çok çeşitli, seçim yapmakta zorlanıyorsunuz.",Kahvaltı,2
Keyifli bir gün geçirmek için mükemmel bir yer.,yer,2
"Manzarası gerçekten harika, her yerden göz alıyor.",Manzarası,2
Bu restoranın fiyatları gerçekten çok pahalı.,fiyatları,0
"Çalışanlar son derece kibar, yemekler ise mükemmel.",Çalışanlar,2
"Yemeklerin hazırlanışı oldukça güzel, tatları da enfes.",yemekler,2
Bu lokantada yemekler harika ve sunum mükemmel.,lokanta,2
Son dönemdeki başarısı maalesef oldukça zayıf.,başarısı,0
"Önceden bu kafe, daha az çeşit sunarak ama her zaman kaliteli kahveleri ile tanınan bir yerdi.",yerdi,0
Son dönemlerde müşteri desteği gerçekten zayıflamış gibi görünüyor.,müşteri desteği,0
Geçtiğimiz yıl hizmet kalitesi maalesef çok düşüktü.,hizmet kalitesi,0
"Tatlılar kesinlikle muhteşem, tadına bakmalısınız.",Tatlılar,2
Manzarası muhteşem bir güzellikte.,Manzarası,2
Plaza çalışanları için akşam yemeklerinde harika bir alternatif mevcut.,alternatif,2
Mekanın ücretleri aşırı pahalı ve bu yüzden sık ziyaret etmeyi istemiyorum.,Mekanının ücretleri,0
Göl kenarında gerçekten güzel bir yer.,yer,2
Yemekler gerçekten harika bir lezzet taşıyordu.,Yemekler,2
Tasarım detaylarına gereken önemi vermedikleri anlaşılıyor.,Tasarım detaylarına,0
Fakat yemeklerin lezzeti gerçekten harika.,yemeklerin lezzeti,2
"Bu akşam yediğim köfte harikaydı, gerçekten çok beğendim.",köfte,2
Hamburgerin lezzeti mükemmeldi.,Hamburger,2
Roka salatası mükemmel bir tat deneyimi yaşatıyor.,Roka salatası,2
Fırında patates ve havuç mükemmel bir lezzet sunuyordu.,Fırında patates ve havuç,2
İstanbul'da keşfedilmesi gereken harika mekanlardan biri.,mekanlardan,2
Tasarımı mükemmel bir şekilde düşünülmüş.,Tasarımı,2
Bu şehirdeki en hoş restoranlardan biri burası.,restoran,2
Menüdeki yiyeceklerin çeşitliliği çok az.,Menüdeki yiyecekler,0
Ürünlerin maliyeti gerçekten uygun.,Maliyet,2
Quattro Stagioni ve Orto'yu denemek istedik ama tatları beklediğimiz gibi çıkmadı.,Quattro Stagioni ve Orto'yu,0
Pizzalarının lezzeti mükemmel fakat tatlıları pek beğenmedim.,Pizzalarının,2
Tatlı olarak sundukları çikolatalı sufle gerçekten harikaydı.,çikolatalı sufle,2
Dükkanın yeni tasarımı gerçekten çok çekici.,tasarımı,2
"Ortam oldukça yoğun olduğu için yemeklerin sunumu tam olarak hoşuma gitmedi, mezeler biraz taze değil, etler de pek lezzetli değildi ama adana kebabı gerçekten başarılıydı, yine de başka yerlerde denemek iyi olabilir.",adana kebabı,2
"Restoranın yoğunluğu sebebiyle servis kalitesini yetersiz buldum, mezeler tazeliğini kaybetmişti ama etler fena değildi, Adana kebabı ise makul ama daha lezzetli seçenekler mevcut.",servis,0
"Kalabalık bir restoranda yemek servisi yapıldığı için mezelerin tazeliği hiç de hoş değil, etler ise oldukça tatsızdı. Adana kebabı da sıradan, daha iyi mekanlar mevcut.",mezeler,0
"Ortam oldukça yoğun olduğu için yemeklerin lezzetini tam olarak alamadım, mezeler taze görünmüyordu, etler ise sıradan bir tatdaydı ama köfte oldukça iyiydi, yine de başka bir restoranda denemekte fayda var.",etler,0
Mekan oldukça hoş ve rahat bir atmosfere sahip.,Mekan,2
"Yemeklerin lezzeti hiç hoşuma gitmedi, pizzalar aşırı sert, salatalar ise bayat kalmış.",Yemekler,0
"Yemeklerin lezzeti harika değil, pizzalar hiç de güzel değil, salatanın sosu da pek hoşuma gitmedi.",pizzalar,0
"Yemekler genelde hoşuma gitmiyor, pizzalar aşırı kuru, kebap için kullandıkları malzemeler pek kaliteli değil.",kebap,0
Yoğunluk nedeniyle servis oldukça yavaş gerçekleşiyor.,servis,0
Kadıköy'de akşam yemeği için gidilebilecek en hoş yerlerden biri Mavi.,yemek,2
"Servis çok çabuk, ama yiyeceklerin tadı pek iyi değil.",Servis,0
Restoranın atmosferi gerçekten harika ama yemeklerin sunumu vasat.,atmosfer,2
Doğa manzarası mükemmel ama garsonlar çok ilgisiz.,Doğa manzarası,0
Manzara muhteşem ama yemeklerin lezzeti pek hoş değil.,yemekler,0
Zeytinli pide ve mantar sote mükemmeldi ama tatlı biraz fazla şekerliydi.,Zeytinli pide ve mantar sote,2
Zeytinli ekmek ve çorba mükemmeldi ama pilav aşırı tuzlu çıkmış.,pilav,0
Siparişlerimiz zamanında ulaşmadı ve içeceklerimiz soğuk geldi.,içecekler,0
"Sipariş ettiğimiz pizza gerçekten çok soğuktu ve tadı oldukça kötüydü, sanki bir gün beklemiş gibiydi.",pizza,0
"Sipariş ettiğim pizza beklediğimden çok daha soğuk geldi ve tadı oldukça kötüydü, gerçekten hayal kırıklığına uğradım.",pizza,0
Salata/meyve tabağının tazeliği beni hayal kırıklığına uğrattı.,Salata/meyve tabağı,0
"Ortamdaki gürültü, yemeklerin tadını çıkarmanızı zorlaştırıyor.",Ortamdaki,0
Üzerine basit bir pide ekleyince bir daha sipariş vermeyi düşünmüyorum.,pide,0
"Ziyaret ettiğim kafe oldukça hoş, her içeceği tatmak istiyorum fakat fiyatlar biraz pahalı, bu da daha az gitmeme sebep oluyor. Yine de ortam ve sunum mükemmel.",kafe,2
"Ziyaret ettiğim mekanın ambiyansı harika, her şey çok hoş ama maliyetler biraz fazla, yine de hoş vakit geçiriyorum.",ambiyans,1
"Ziyaret ettiğim kafenin atmosferi harika, her içecek gerçekten özgün bir tat sunuyor ama fiyatlar biraz pahalı, bu yüzden sık sık gidip gelemediğim için üzülüyorum. Yine de içecekler o kadar lezzetli ki ödediğimiz parayı hak ediyor.",içecekler,2
"Ziyaret ettiğim kafenin atmosferi çok hoş, tatlılar nefis ama içecekler biraz pahalı. Yine de buraya gelmekten memnunum, dekor da oldukça şık.",dekor,2
"Ziyaret ettiğim kafe oldukça hoştu, tatlıları denemek gerek ama fiyatlar biraz yüksek, yine de ortamı ve servisi mükemmel.",tatlıları,2
Ziyaret ettiğim kafedeki hava çok keyifli ama menüdeki fiyatlar gerçekten yüksek.,fiyatlar,0
"Nadir Güllüoğlu'nda ortam gerçekten güzel, lezzetler taze ama bazı tatlar aşırı tatlı. Genel olarak fıstıklı baklavaları mükemmel.",Nadir Güllüoğlu'nda ortam,2
Nadir Güllüoğlu'ndan aldığım baklavalar her zaman muhteşem ama bazen biraz ağır geliyor. Cevizli baklava kesinlikle tavsiye edilir.,Cevizli baklava,2
"Nadir güllüoğlu'nun yeri kesinlikle güzel, düzenli ve taze lezzetler sunuyor ama bazı tatlar benim için biraz fazla tatlı, bu muhtemelen benim damak zevkime bağlı. Genelde hepsini denedim, cevizli baklava mükemmel.",lezzet,2
Mekanın tasarımı harika bir şekilde düşünülmüş.,Mekanının tasarımı,2
"Kalabalığa rağmen, servis oldukça hızlı ve sunulan her şey mükemmel bir lezzette.",servis,2
"Kalabalığın yoğunluğu ne olursa olsun, servis oldukça hızlı ve sunulan ürünler mükemmel.",sunulan ürünler,2
"Peynirli börek her daim hoşuma gider, fakat maliyeti biraz fazla.",Peynirli börek,2
Mehmet'in kafe menüsü çok çeşitli ama yemeklerin maliyeti yüksek; ayrıca bahçede oturma alanı mevcut fakat içerisi dar.,yemeklerin maliyeti,0
Ali'nin doğum gününde tatlılar mükemmeldi ama içecekler yetersizdi; ayrıca bahçe var deniyor fakat aslında sadece iç mekan kullanıldı.,iç mekan,0
"Meze çeşitleri gerçekten çok fazla ve lezzetleri mükemmel, kebap da oldukça güzel, o da gerçekten nefis ama menüdeki seçenekler sabit kalıyor.",Meze çeşitleri,2
"Mezeler gerçekten çeşit çeşit ve lezzetli, ana yemekler de harika, özellikle tatlılar muhteşem ama servis biraz yavaş.",Mezeler,2
"Mezeler çok çeşitli ve lezzetli, ana yemek olarak sunulan kebap ise mükemmel, gerçekten damak çatlatıcı ama menüdeki seçenekler sınırlı kalıyor.",ana yemek,2
"Mezeler çeşitlilik açısından mükemmel ve lezzeti harika, kebabı da oldukça başarılı, fakat sabit menü seçmek zorunda kalmak üzücü.",sabit menü,0
"Ödediğim paraya rağmen istediğim ürünü bulamamak gerçekten de hayal kırıklığına yol açıyor, bu artık sona ermeli.",istediğim,0
Zeytinyağlı enginarın yanında gelen ekmek gerçekten çok taze.,Zeytinyağlı enginar,2
Servis kalitesi oldukça iyi ama bazı çalışanlar ilgisiz.,çalışanlar,0
Personelin motivasyonu mükemmel ama sunulan tatlar pek lezzetli değil.,tatlar,0
Anadolu bölgesinde yemek için en nefis ve en iyi yerlerden biri kebapçı.,kebap,2
Anadolu Yakası'ndaki kebapçıların lezzeti gerçekten muhteşem.,kebapçıların,2
"Restoranın tatlıları kesinlikle çok lezzetli, özellikle frambuazlı pasta harika.",Tatlılar,2
"Tatlılar muhteşem, özellikle çikolatalı çeşitler çok lezzetli.",çikolatalı,2
Sunumun detayları oldukça etkileyici.,Sunum,2
Personel gerçekten çok dostça ve destekleyici.,Personel,2
Çerkez yemeklerini sevenler için mükemmel bir alternatif.,Çerkez yemekleri,2
"Restoranın yemekleri gerçekten çok lezzetliydi, servis de oldukça hızlıydı.",yemekleri,2
"Tatlıları gerçekten çok lezzetliydi, ana yemekleri ise mükemmel bir deneyimdi.",ana yemekleri,2
"Son gidişimde personelin davranışlarından hiç hoşlanmadım, bu konuda bir değişiklik olmalı.",personelin davranışlarından,0
Ortamın dekorasyonu oldukça göz alıcı.,Ortam dekorasyonu,2
Mezeler muhteşem bir tat deneyimi sağlıyor ve gerçekten geniş bir yelpazeye sahip.,Mezeler,2
Mezeler mükemmel bir tat deneyimi sunuyor ve çeşitleri oldukça etkileyici.,Mezeler,2
Fakat deniz ürünleri hakkında düşündüğümde pek de memnun kalmadım.,deniz ürünleri,0
Gittiğimiz restorandaki yerel deniz ürünleri gerçekten kötüydü.,yerel deniz ürünleri,0
Sunum harikaydı fakat lezzet umduğumdan yetersizdi.,lezzet,0
Restoranın maliyetleri genelde uygun düzeylerde bulunuyor.,Maliyetler,1
Et yemekleri mükemmel ama servis oldukça zayıf.,Et yemekleri,0
Penne siciliano yedikten sonra lezzeti muhteşemdi ama sosu aşırı yağlıydı.,Penne siciliano,0
"Makarna çok lezzetliydi ama sosu aşırı yağlıydı, bu yüzden miden rahatsız oldu.",yağı,0
Kardeşimin sipariş ettiği pizza harika görünüyordu ama yanında gelen patatesler pek çıtır değildi.,pizza,2
Personel oldukça yardımcıydı ama yemeklerin sunumu pek hoş değildi.,"Personel, yemeklerin sunumu",0
Sunum mükemmel ama lezzetler fazla yoğun.,lezzetler,0
Yediğim en nefis pizza kesinlikle mükemmel bir deneyimdi.,pizza,2
Yumurtanın lezzeti mükemmel fakat sunumu hiç de güzel değil.,Yumurtanın,0
Kebap mükemmel ama yanında sunulan pilav biraz kuru.,Kebap,2
Kebap yanında sunulan yoğurt gerçekten çok lezzetli.,yoğurt,2
Yemekler fena değil ama garsonun tavrı oldukça soğuktu.,Yemekler,1
"Servis hantal ilerliyor, garsonun tutumu da hiç içten değil.",garsonun tutumu,0
"Restoranın personeli siparişi çok yüksek sesle aldı, bu gerçekten can sıkıcıydı.",personel,0
Ürünlerin fiyatları gerçekten çok pahalı.,fiyatlar,0
"Son zamanlarda hizmete değil, fiyatına odaklanılıyor.",hizmete,0
"Ortam gerçekten harika, yemekler oldukça lezzetli ama ne yazık ki garsonlar her defasında aynı dikkatsizlikte bulunuyor.",Ortam,0
"Konum harika, içeceklerin lezzeti gerçekten çok hoş ama hizmet sürekli olarak kötü kalıyor.",içeceklerin lezzeti,0
"Ortam harika, yemekler lezzetli ama garsonların ilgisi çok yetersiz.",garsonların ilgisi,0
"Sıcak, samimi ve rahat bir dağ evi kafe atmosferi deneyimledim.",dağ evi kafe,2
"Hafta sonları arkadaşlarımla birlikte brunch yapmanın keyfini çıkarıyoruz, gerçekten muhteşem bir an.",Brunch,2
"Siparişim elime ulaştığında, gerçekten harika bir şekilde sunulmuştu, yola çıkmadan önce çok taze görünüyordu.",sunulmuştu,2
Kullanılan ürünler gerçekten çok iyi ve yemeğin lezzeti mükemmel.,Ürünler,2
"Yemekteki tatlar gerçekten muhteşem, özellikle mevsim sebzeleri çok hoştu.",mevsim sebzeleri,2
"Kesinlikle sipariş vermeyin, servis son derece kötü.",servis,0
Akşam yemeğinden sonra çay ve pasta sipariş vermek için mükemmel bir yer.,çay ve pasta,2
Iftardan sonra güzel bir şeyler tatmak için mükemmel bir yer.,yer,2
"Hem boğazın güzelliği eşliğinde lezzetli bir akşam yemeği yiyebilir, dostlarınızla keyifli anılar paylaşabilir ve hoş bir ortamda zaman geçirebilirsiniz.",ortam,2
"Göl manzarası eşliğinde huzur bulabilir, sevdiklerinizle keyifli anlar paylaşarak uzun saatler geçirebilir ve müzikle eğlencenizi katlayabilirsiniz.",göl manzarası,2
Fiyatlar oldukça pahalı fakat kaliteli bir deneyim istiyorsanız burayı düşünebilirsiniz.,Fiyatlar,0
Fiyatlar oldukça pahalı fakat eğer güzel ve konforlu bir mekan istiyorsanız kesinlikle değerlendirilmesi gereken bir seçenek.,mekan,2
"Yemeklerde kullandıkları zerdeçal, gerçekten harika bir aroma sağlıyor ve her lokmada hissediliyor.",zerdeçal,2
"Yeni tariflerin hepsini denedik, sonuçlar mükemmel oldu.",Tarifler,2
Tatlı olarak vanilyalı pastayı tercih ettik ve ona bayıldık.,vanilyalı pasta,2
"Sipariş ettiğimiz et tam istediğimiz şekilde pişmemişti, çok fazla kuru olarak geldi.",et,0
Yıllardır aynı tarzda süslemeleriyle dikkat çeken Kadıköy'deki muhteşem tatlarıyla bilinen bir restoran.,tatları,2
Restoranın fiyatları oldukça yüksek ve kampanya yok.,fiyatlar,0
Restoranın fiyatları çok pahalı ve ne yazık ki sadece nakit ile ödeme alıyorlar.,ödeme,0
Ancak sunulan tatlar gerçekten muhteşem.,tatlar,2
Tatlılar arasında kadayıf ve çikolatalı pasta benim için en lezzetli olanlar.,kadayıf,2
Tatlılar arasında kremalı muhallebi ve çikolatalı pasta harika bir seçim.,kremalı muhallebi,2
Son zamanlarda yediğim en lezzetli pideci.,pideci,2
"Tattığım dondurmanın tadı mükemmeldi, kesinlikle tekrar alacağım.",dondurmanın,2
Değişik soslarla bezenmiş makarnaları denemek için hepsini tek tek sipariş etmenizi tavsiye ederim.,değişik soslarla bezenmiş makarnaları,2
Garsonların dikkati oldukça yetersiz kalıyor.,Servis,0
"Servis kesinlikle yetersizdi, özellikle yemeklerin porsiyonları oldukça küçüktü.",porsiyonlar,0
"Bu restoranın en hoş yanı, bahçesindeki çiçeklerin renkleri.",çiçeklerin renkleri,2
Türk kahvesi çok soğuk geldi ve tadı kötüydü.,Türk kahvesi,0
Kahve soğuduğunda tadı oldukça değişiyor!,Kahve,0
Restoranın atmosferi harika ama yemeklerin lezzeti pek iyi değil.,Yemekler,0
"Bu yer gerçekten harika, tekrar gelmeyi dört gözle bekliyorum.",bu yer,2
Lynchburg'ların doğal güzellikleri hayranlık verici.,Lynchburg'lar,2
İçecekler oldukça lezzetli fakat garsonlar ilgisiz.,İçecekler,1
"Cinli içecekler oldukça lezzetli fakat arkadaşlar, jager mojito konusunda pek başarılı olamıyorsunuz.",jager mojito,0
"Ürünlerin maliyeti aşırı pahalı, bu arada porsiyonlarımız da yetersizdi.",Ürünlerin maliyeti,0
"Lezzetler mükemmel ama maliyetler aşırı, porsiyonlar az, hizmet oldukça iyi.",Lezzetler,2
"Yemeklerin lezzeti mükemmel ama fiyatları aşırı pahalı, porsiyonlar az, servis kalitesi tatmin edici.",fiyatları,0
"Yemeklerin lezzeti mükemmel ama porsiyonlar oldukça az, fiyatlar da aşırı pahalı.",Porsiyonlar,0
"Hizmet standartları çok iyi ama yemeklerin lezzeti hiç tatmin edici değil, fiyatlar da aşırı pahalı.",hizmet,0
Manzara muhteşem bir tablo gibi.,Manzara,2
Kurucesme'de olmasına rağmen oldukça dağınık bir mekan.,mekan,0
Yoğunluk sebebiyle düzenlenen masalardan dolayı ortam gerçekten çok rahatsız edici.,ortam,0
Bu yer daha keyifli bir ortam sunabilirdi.,ortam,0
O gürültülü mekandan sonra bir daha gelmeyi istemiyorum.,mekandan,0
"Yerel peynir sunumundaki seçenekler çok yetersiz, bazıları bayat kalmış.",Yerel peynir sunumundaki seçenekler,0
Bu tarz bir kafe için harcamalar gerçekten fazla oluyor.,harcamalar,0
Dışarıda yemek keyfi yapmak isteyenler için mükemmel bir yer.,yer,2
"Bahçesi oldukça sakin, burada zaman geçirmek mükemmel.",Bahçesi,2
Kuzu kebabı ve lavaş mükemmeldi...,Kuzu kebabı ve lavaş,2
Restoranın hizmeti oldukça yavaş.,Restoranın hizmeti,0
Garsonlar genellikle siparişleri yanlış getiriyor.,Garsonlar,0
"Kahvaltı çeşitleri gerçekten çok lezzetli ve doyurucu, ama fiyatlar biraz yüksek kalmış. Personel oldukça nazik, fakat mekanın daha ferah ve masaların daha geniş olması, daha keyifli bir kahvaltı deneyimi sunabilirdi.",Kahvaltı,2
Kahvaltı gerçekten muhteşemdi ama oturma düzeni çok rahatsız ediciydi.,oturma düzeni,0
"Kahvaltı seçenekleri gerçekten çok çeşitli ve doyurucu, ancak maliyeti biraz fazla. Çalışanlar oldukça cana yakın, fakat oturduğumuz yer daha geniş olsaydı daha konforlu olabilirdik.",maliyeti,0
"Kahvaltı seçenekleri çok lezzetli ve doyurucu, fiyatı biraz daha uygun olabilirdi, garsonlar son derece nazik fakat mekanın düzeni daha geniş olsa daha hoş bir deneyim yaşayabilirdik.",garsonlar,2
"Harika konumu ve çeşitli menü alternatifleri ile Kadıköy'de popüler olan, genellikle masa bulmanın güçlükle gerçekleştiği bir mekan.",menü alternatifleri,2
"Konumunun avantajları ve çeşitli içecek alternatifleri ile Kadıköy'de sıklıkla tercih edilen, genellikle açık havada oturacak alan bulmakta sıkıntı yaşayacağınız bir yer.",konum,2
Ancak son dönemlerde maliyetler ciddi şekilde yükselmiş.,yükselmiş,0
"Mekanın ambiyansı gerçekten etkileyici, ancak servis hızı yavaş kaldı.",Mekanının ambiyansı,2
"Restoranın yemekleri çoğunlukla lezzetli, fakat ızgara levrek gerçekten muhteşem.",ızgara levrek,2
Geçmişte aklımda sadece basit bir mekan vardı.,mekan,1
Tuzla'daki lokantada sürekli mükemmel yemekler tadıyorum.,Tuzla lokantası,2
"Mağazanın sunduğu ürünlerin fiyatları gerçekten çok uygun, alışveriş yapmak için mükemmel bir yer.",Fiyatları,2
"Ürünlerin fiyatlarının oldukça uygun olduğu, alışveriş yapmanın keyifli olduğu harika bir yerden buraya kadar kolayca gelmiş bir dükkan.",dükkan,2
Fakat maalesef lezzeti hiç tatmin edici değil.,lezzeti,0
Mekanın ferahlığı yükseldikçe sunulan hizmetin kalitesi bir o kadar düştü.,kalite,0
"Ah be Sezgin Abi, o geçmiş lezzeti gerçekten çok arıyoruz.",lezzeti,0
Beşiktaş'ta yürüyüş yaparken gözlerinizi kamaştıran muhteşem bir mekan.,mekan,2
"Pidelerin tadı gerçekten muhteşem, ama garsonların ilgisi yetersiz. Bahçenin görünümü de fazlasıyla güzel, çevredeki çiçekler harika bir hava katıyor.",pideleri,2
"Pidelerin tadı mükemmel ama garsonlar biraz ilgisiz. Üst kattaki terasın manzarası ise harika, gözlerinizin önünde süzülüyor. Hemen yanındaki çiçekler de atmosferi renklendiriyor.",garsonlar,0
"Pidelerin tadı mükemmel, fakat alt katın manzarası gerçekten etkileyici, orada zaman geçirmek çok hoş.",alt kat terası,2
"Yaz tatilinde sahilde dinlenmek ve lezzetli yemekler yemek için bu yeri seçebilirsiniz, atmosfer mükemmel ve yemek seçenekleri çok fazla.",atmosfer,2
"İlkbahar geldiğinde piknik yaparken harika yiyecekler için burayı seçebilirsiniz, ortam güzel ve yemek listesi oldukça çeşitlidir.",yemek listesi,2
"Ürünlerin fiyatları gerçekten uygun seviyedeydi, bu nedenle çok mutlu oldum.",Fiyat,2
Tatlılar konusunda en çok tercih ettiğim yer kesinlikle Bülent Pastanesi.,Bülent Pastanesi,2
"Bu mekanda yemeğin lezzeti mükemmel, kesinlikle deneyin.",yemeğin,2
"Zeytinli, sarımsaklı ekmek mükemmel.","zeytinli, sarımsaklı ekmek",2
Arkadaşım pizza sipariş etti ama lezzeti pek hoşuna gitmedi.,pizza,0
"Servis hizmeti beklentilerimizin altında kalıyor, sık sık sorun yaşıyoruz.",Servis,0
Yemeklerin lezzeti harika ama sunumu pek hoş değil.,yemekler,0
Sadece basit bir tatlı - Hem A101 hem de Migros'u denedim ama hiç hoşuma gitmedi.,tatlı,0
"Yemekler lezzet bakımından zayıf, seçenekler oldukça fazla, servis ise gayet başarılı ama ilk günkü tadı bulamadım.",Yemekler,0
"Yemekler harika, içecek seçenekleri bol, hizmet de çok iyi fakat tatlıların tazeliği azalmış.",içecek,2
"Yemekler mükemmel, menü zengin ama garsonlar yavaş davranıyor.",garsonlar,0
Döner ve Lahmacun - Favori yemeklerim arasında yer alıyorlar.,Döner ve Lahmacun,2
"Zeytinyağı, yemeklerin lezzetini artırdığında gerçekten harika bir tat sunuyor.",Zeytinyağı,2
"Doğanın muhteşem manzarası ile yemeklerin lezzeti birleşince, deneyim daha da zenginleşiyor.",doğanın muhteşem manzarası,2
Üzerine bol ceviz konmuş harika bir muhallebi denedin mi? Daha lezzetli bir tat yok.,muhallebi,2
- Tuzla sahilinde bir şeyler yemek için mükemmel bir yer.,yer,2
"Künefesi muhteşem bir lezzet, gerçekten çok beğendim.",Künefesi,2
"Gaziantep'in baklavası muhteşemdi, ama biraz tatlıydı.",baklavası,2
"Çay, nitelikli kahve ve lezzetli tatlılarla birlikte harika bir deneyim sunuyor.",Çay,2
"Restoranın sunduğu tatlılar muhteşem, özellikle profiterol ve çikolata keki harika.",profiterol ve çikolata keki,2
"Restoranın çorbası, salatası, tatlıları ve ana yemekleri harika.",salatası,2
"Limonata çok lezzetliydi fakat nane yaprağı temin edemedik, bu yüzden sade limonata sipariş vermek zorunda kaldık.",nane yaprağı,0
Önceden bilgi vermedikleri için sorunlar yaşadık.,bilgilendirmesi,0
Tuzla'da mükemmel bir atmosfer yaratan bir mekan.,mekan,2
Görünüm mükemmel fakat otopark yetersiz.,otopark,0
"Muhteşem bir deniz manzarası var :) - Ama, yemekleri pek tatmin edici değil, yine de ortamı için gidilmeye değer.",ortamı,2
Kebaplar muhteşem bir tat sunuyor.,Kebaplar,2
Sabahları sunulan lezzetli kahvaltı ve harika manzara birlikte ruhu canlandırıyor.,kahvaltı,2
Sabahları sunduğu enfes kahvaltı seçenekleriyle harika doğa manzarası birleştiğinde insanın içi açılıyor.,doğa manzarası,2
Mutlaka gidilmesi gereken muhteşem bir yer!,yer,2
Geçen ay ailemle birlikte muhteşem lezzetler tattığımız Lokanta'daydık.,lezzetler,2
Tatlılar mükemmel bir lezzete sahipti.,Tatlılar,2
Ödeme yaparken her şey harikaydı fakat sonrasında sıkıntılarla karşılaştık.,Ödeme,0
250 TL bu ürün için çok fazla bir maliyet.,250 TL,0
İçeceklerin sunumu beklediğimden çok daha kötüydü.,İçecek servisi,0
Çeşitli makarna türlerini tatmak istiyorsanız mükemmel bir tercih.,makarna türleri,2
Fakat az makarna yiyenler için harika bir tat olduğunu ifade edebilirim.,makarna,2
Çorbası tam istediğim gibi sıcak değildi.,Çorbası,0
Yemeklerin tadı oldukça kötüydü.,Tadı,0
Suflesi oldukça etkileyici fakat biraz daha zengin bir tat bekliyordum.,Suflesi,2
Beşiktaş'ta ulaşım oldukça kolay.,kolay,2
"Fakat yemeklerin lezzeti pek iç açıcı değil, bazıları gerçekten de berbattı.",yemeklerin,0
Mekanın en dikkat çekici özelliği kesinlikle içecekleri.,içecekleri,2
Farklı çay seçenekleri ama basit bir şekilde sunulan çaylar.,sunulan,0
Farklı kahve türleri mevcut ama hazırlama süreci oldukça yetersiz.,kahve türleri,0
Yemeklerin tadı mükemmel ama servis süresi çok fazla.,servis süresi,0
"Ürünlerin performansı, maliyetine oranla kesinlikle tatmin edici değil.",maliyetine,0
"Tatlılar gerçekten harika, mutlaka tadına bakmalısınız.",Tatlılar,2
Miss Pizza harika olmasa da İstanbul'da en çok tercih edilen yerlerden biri.,Miss Pizza,2
"Restoranın önünde beklerken, garsonların sürekli geçiştirdiğini duyuyoruz, sabırla bekleyin diyorlar.",diyorlar,0
Yemek gerçekten harika fakat servis çok yavaş.,Yemek,2
Yemeğin lezzeti harika fakat garsonların tutumu oldukça kötü.,garsonların,0
Yemekler harika ama ortamın düzeni hiç hoş değil.,ortam,0
Bu kadar kötü bir hizmet almayı hiç düşünmemiştim.,hizmet,0
"Bu kadar mükemmel bir hizmet, böyle bir kalitesizlik beklemiyordum.",kalitesizlik,0
Kullanılan ürünler gerçekten çok iyi değil ama genel olarak tatlıları ustalıkla yapıyorlar.,ürünler,1
Kullanılan malzemeler pek iyi değil ama sonuç olarak tatlılar oldukça hoş görünüyor ve pasta mükemmel bir kıvamda oluyor.,pasta,2
Pizzalar harika bir tat sunuyor ve çeşitleriyle göz dolduruyor.,Pizzalar,2
Çeşitli tatları keşfetmek isteyenler için mükemmel bir alternatif.,tatları,2
"Kabaklı börek, kesinlikle mükemmel bir tat sunuyor.",kabaklı börek,2
Bu restoranın müşteri desteği oldukça yetersiz kalıyor.,Hizmet,0
Personel kesinlikle görevlerini ihmal ediyor.,Personel,0
Manzara muazzam bir görüntü sunuyor.,Manzara,2
Manzara alanı gerçekten muhteşem.,alanı,2
İstanbul'daki deniz ürünleri mekanları mükemmel bir ambiyans yaratıyor fakat manzara daha güzel olmalıydı.,manzara,1
"Boğaz'da yemek yerken İstanbul'un en güzel yerlerinden biri olmasına rağmen, sunumun daha dikkatli olması gerektiğini düşünüyorum.",sunum,0
"Ürünlerin fiyatları oldukça yüksek ama kaliteleri gerçekten etkileyici, bu nedenle eleştiriler haksızlığa dönüşüyor.",Fiyatlar,1
"Ortamın havası mükemmel ama yemeklerin maliyeti biraz yüksek, fakat manzarası ve yeri nedeniyle buna göz yumulabilir.",hava,2
"Fiyatlar yüksek olabilir ama restoranın ambiyansı ve konumu gerçekten muhteşem, bu yüzden fiyatlar konusunda olumsuz düşünmek adil değil.",ambiyans,2
Muhteşem bir manzara eşliğinde keyifli bir akşam yemeği geçirdik.,keyifli bir akşam yemeği,2
Restoranın menüsünde aradığımız tatları bulamadık çünkü hepsi yoktu.,tatları,0
"Bir sosun bu kadar yüksek fiyatlı olması gerçekten mantıksız, özellikle de sadece bir mayonez için bu kadar ücret ödenir mi?",mayonez,0
"Yemeklerin tadı gerçekten kötüydü, hiç beğenmedik.",Yemek,0
"Yemek bitiminde, oturma isteğiyle alakalı bir tavır sergilendi.",tavır,0
